"NAME","Age_Range","Total","year"
"Rhode Island","25.to.34.years",25061,2005
"Rhode Island","35.to.44.years",56822,2005
"Rhode Island","45.to.54.years",61750,2005
"Rhode Island","55.to.59.years",27776,2005
"Rhode Island","60.to.64.years",20747,2005
"Rhode Island","65.to.74.years",27974,2005
"Rhode Island","75.to.84.years",26806,2005
"Rhode Island","85.years.and.over",5938,2005
"South Carolina","total",1146620,2005
"South Carolina","15.to.24.years",18653,2005
"South Carolina","25.to.34.years",131551,2005
"South Carolina","35.to.44.years",226729,2005
"South Carolina","45.to.54.years",255198,2005
"South Carolina","55.to.59.years",122849,2005
"South Carolina","60.to.64.years",105514,2005
"South Carolina","65.to.74.years",162632,2005
"South Carolina","75.to.84.years",99796,2005
"South Carolina","85.years.and.over",23698,2005
"South Dakota","total",214246,2005
"South Dakota","15.to.24.years",5315,2005
"South Dakota","25.to.34.years",28482,2005
"South Dakota","35.to.44.years",41162,2005
"South Dakota","45.to.54.years",51923,2005
"South Dakota","55.to.59.years",21468,2005
"South Dakota","60.to.64.years",14797,2005
"South Dakota","65.to.74.years",26262,2005
"South Dakota","75.to.84.years",18518,2005
"South Dakota","85.years.and.over",6319,2005
"Tennessee","total",1638837,2005
"Tennessee","15.to.24.years",28096,2005
"Tennessee","25.to.34.years",197528,2005
"Tennessee","35.to.44.years",322777,2005
"Tennessee","45.to.54.years",376875,2005
"Tennessee","55.to.59.years",176814,2005
"Tennessee","60.to.64.years",144443,2005
"Tennessee","65.to.74.years",218284,2005
"Tennessee","75.to.84.years",137444,2005
"Tennessee","85.years.and.over",36576,2005
"Texas","total",5162604,2005
"Texas","15.to.24.years",82467,2005
"Texas","25.to.34.years",659936,2005
"Texas","35.to.44.years",1128361,2005
"Texas","45.to.54.years",1242548,2005
"Texas","55.to.59.years",521500,2005
"Texas","60.to.64.years",413206,2005
"Texas","65.to.74.years",615116,2005
"Texas","75.to.84.years",394380,2005
"Texas","85.years.and.over",105090,2005
"Utah","total",558769,2005
"Utah","15.to.24.years",16169,2005
"Utah","25.to.34.years",105506,2005
"Utah","35.to.44.years",115511,2005
"Utah","45.to.54.years",127597,2005
"Utah","55.to.59.years",46527,2005
"Utah","60.to.64.years",37727,2005
"Utah","65.to.74.years",57877,2005
"Utah","75.to.84.years",39017,2005
"Utah","85.years.and.over",12838,2005
"Vermont","total",176860,2005
"Vermont","15.to.24.years",1110,2005
"Vermont","25.to.34.years",16110,2005
"Vermont","35.to.44.years",35713,2005
"Vermont","45.to.54.years",46645,2005
"Vermont","55.to.59.years",22053,2005
"Vermont","60.to.64.years",15583,2005
"Vermont","65.to.74.years",21032,2005
"Vermont","75.to.84.years",15086,2005
"Vermont","85.years.and.over",3528,2005
"Virginia","total",2012391,2005
"Virginia","15.to.24.years",28036,2005
"Virginia","25.to.34.years",233610,2005
"Virginia","35.to.44.years",435574,2005
"Virginia","45.to.54.years",492962,2005
"Virginia","55.to.59.years",219768,2005
"Virginia","60.to.64.years",169468,2005
"Virginia","65.to.74.years",238881,2005
"Virginia","75.to.84.years",153300,2005
"Virginia","85.years.and.over",40792,2005
"Washington","total",1584549,2005
"Washington","15.to.24.years",21075,2005
"Washington","25.to.34.years",177296,2005
"Washington","35.to.44.years",333755,2005
"Washington","45.to.54.years",403604,2005
"Washington","55.to.59.years",171273,2005
"Washington","60.to.64.years",130997,2005
"Washington","65.to.74.years",179397,2005
"Washington","75.to.84.years",130395,2005
"Washington","85.years.and.over",36757,2005
"West Virginia","total",558289,2005
"West Virginia","15.to.24.years",9330,2005
"West Virginia","25.to.34.years",56036,2005
"West Virginia","35.to.44.years",93813,2005
"West Virginia","45.to.54.years",130037,2005
"West Virginia","55.to.59.years",63667,2005
"West Virginia","60.to.64.years",48879,2005
"West Virginia","65.to.74.years",79547,2005
"West Virginia","75.to.84.years",57811,2005
"West Virginia","85.years.and.over",19169,2005
"Wisconsin","total",1556441,2005
