"NAME","Age_Range","Total","year"
"Michigan","55.to.59.years",50141,2005
"Michigan","60.to.64.years",37046,2005
"Michigan","65.to.74.years",51202,2005
"Michigan","75.to.84.years",57376,2005
"Michigan","85.years.and.over",30333,2005
"Minnesota","total",489485,2005
"Minnesota","15.to.24.years",90523,2005
"Minnesota","25.to.34.years",126101,2005
"Minnesota","35.to.44.years",83321,2005
"Minnesota","45.to.54.years",66194,2005
"Minnesota","55.to.59.years",20932,2005
"Minnesota","60.to.64.years",17776,2005
"Minnesota","65.to.74.years",25744,2005
"Minnesota","75.to.84.years",35071,2005
"Minnesota","85.years.and.over",23823,2005
"Mississippi","total",326588,2005
"Mississippi","15.to.24.years",44286,2005
"Mississippi","25.to.34.years",92738,2005
"Mississippi","35.to.44.years",67192,2005
"Mississippi","45.to.54.years",55690,2005
"Mississippi","55.to.59.years",19175,2005
"Mississippi","60.to.64.years",13179,2005
"Mississippi","65.to.74.years",18709,2005
"Mississippi","75.to.84.years",12424,2005
"Mississippi","85.years.and.over",3195,2005
"Missouri","total",671063,2005
"Missouri","15.to.24.years",114878,2005
"Missouri","25.to.34.years",171244,2005
"Missouri","35.to.44.years",128178,2005
"Missouri","45.to.54.years",105236,2005
"Missouri","55.to.59.years",34951,2005
"Missouri","60.to.64.years",25374,2005
"Missouri","65.to.74.years",37477,2005
"Missouri","75.to.84.years",34088,2005
"Missouri","85.years.and.over",19637,2005
"Montana","total",113810,2005
"Montana","15.to.24.years",21762,2005
"Montana","25.to.34.years",26397,2005
"Montana","35.to.44.years",22109,2005
"Montana","45.to.54.years",17132,2005
"Montana","55.to.59.years",5625,2005
"Montana","60.to.64.years",6045,2005
"Montana","65.to.74.years",5896,2005
"Montana","75.to.84.years",5888,2005
"Montana","85.years.and.over",2956,2005
"Nebraska","total",220910,2005
"Nebraska","15.to.24.years",43179,2005
"Nebraska","25.to.34.years",56994,2005
"Nebraska","35.to.44.years",38906,2005
"Nebraska","45.to.54.years",33606,2005
"Nebraska","55.to.59.years",10371,2005
"Nebraska","60.to.64.years",8336,2005
"Nebraska","65.to.74.years",10988,2005
"Nebraska","75.to.84.years",11220,2005
"Nebraska","85.years.and.over",7310,2005
"Nevada","total",356594,2005
"Nevada","15.to.24.years",42843,2005
"Nevada","25.to.34.years",102537,2005
"Nevada","35.to.44.years",72712,2005
"Nevada","45.to.54.years",58214,2005
"Nevada","55.to.59.years",21207,2005
"Nevada","60.to.64.years",18241,2005
"Nevada","65.to.74.years",22387,2005
"Nevada","75.to.84.years",13514,2005
"Nevada","85.years.and.over",4939,2005
"New Hampshire","total",134200,2005
"New Hampshire","15.to.24.years",16908,2005
"New Hampshire","25.to.34.years",31355,2005
"New Hampshire","35.to.44.years",26106,2005
"New Hampshire","45.to.54.years",24772,2005
"New Hampshire","55.to.59.years",7640,2005
"New Hampshire","60.to.64.years",4670,2005
"New Hampshire","65.to.74.years",9892,2005
"New Hampshire","75.to.84.years",9028,2005
"New Hampshire","85.years.and.over",3829,2005
"New Jersey","total",1027884,2005
"New Jersey","15.to.24.years",75281,2005
"New Jersey","25.to.34.years",245345,2005
"New Jersey","35.to.44.years",237066,2005
"New Jersey","45.to.54.years",184370,2005
"New Jersey","55.to.59.years",67822,2005
"New Jersey","60.to.64.years",50690,2005
"New Jersey","65.to.74.years",73595,2005
"New Jersey","75.to.84.years",65346,2005
"New Jersey","85.years.and.over",28369,2005
"New Mexico","total",223466,2005
"New Mexico","15.to.24.years",38876,2005
"New Mexico","25.to.34.years",56166,2005
"New Mexico","35.to.44.years",49864,2005
"New Mexico","45.to.54.years",34359,2005
"New Mexico","55.to.59.years",13204,2005
"New Mexico","60.to.64.years",8309,2005
"New Mexico","65.to.74.years",11116,2005
"New Mexico","75.to.84.years",7446,2005
"New Mexico","85.years.and.over",4126,2005
"New York","total",3178053,2005
"New York","15.to.24.years",226321,2005
"New York","25.to.34.years",737925,2005
"New York","35.to.44.years",710190,2005
"New York","45.to.54.years",572396,2005
"New York","55.to.59.years",221308,2005
"New York","60.to.64.years",162344,2005
"New York","65.to.74.years",254197,2005
"New York","75.to.84.years",204703,2005
"New York","85.years.and.over",88669,2005
"North Carolina","total",1084700,2005
"North Carolina","15.to.24.years",158644,2005
"North Carolina","25.to.34.years",321374,2005
"North Carolina","35.to.44.years",235100,2005
"North Carolina","45.to.54.years",167427,2005
