"GEOID","NAME","year","med_incomeE","med_rentE","region_group","region_name","rent_to_income_ratio"
33,"New Hampshire",2023,96838,1517,1,"New England",0.188
34,"New Jersey",2023,99781,1667,2,"New York–New Jersey",0.2
35,"New Mexico",2023,62268,1084,6,"South Central",0.209
36,"New York",2023,82095,1561,2,"New York–New Jersey",0.228
37,"North Carolina",2023,70804,1245,4,"Southeast",0.211
38,"North Dakota",2023,76525,916,8,"Mountain North",0.144
39,"Ohio",2023,67769,1014,5,"Great Lakes",0.18
40,"Oklahoma",2023,62138,1020,6,"South Central",0.197
41,"Oregon",2023,80160,1481,10,"Pacific Northwest",0.222
42,"Pennsylvania",2023,73824,1197,3,"Mid-Atlantic",0.195
44,"Rhode Island",2023,84972,1365,1,"New England",0.193
45,"South Carolina",2023,67804,1170,4,"Southeast",0.207
46,"South Dakota",2023,71810,921,8,"Mountain North",0.154
47,"Tennessee",2023,67631,1214,4,"Southeast",0.215
48,"Texas",2023,75780,1413,6,"South Central",0.224
49,"Utah",2023,93421,1551,8,"Mountain North",0.199
50,"Vermont",2023,81211,1202,1,"New England",0.178
51,"Virginia",2023,89931,1567,3,"Mid-Atlantic",0.209
53,"Washington",2023,94605,1731,10,"Pacific Northwest",0.22
54,"West Virginia",2023,55948,850,3,"Mid-Atlantic",0.182
55,"Wisconsin",2023,74631,1071,5,"Great Lakes",0.172
56,"Wyoming",2023,72415,1000,8,"Mountain North",0.166
72,"Puerto Rico",2023,25621,557,11,"Puerto Rico",0.261
