"GEOID","NAME","year","med_incomeE","med_rentE","region_group","region_name","rent_to_income_ratio"
26,"Michigan",2007,47950,683,5,"Great Lakes",0.171
27,"Minnesota",2007,55802,711,5,"Great Lakes",0.153
28,"Mississippi",2007,36338,609,4,"Southeast",0.201
29,"Missouri",2007,45114,618,7,"Central Plains",0.164
30,"Montana",2007,43531,579,8,"Mountain North",0.16
31,"Nebraska",2007,47085,614,7,"Central Plains",0.156
32,"Nevada",2007,55062,980,9,"Pacific Southwest",0.214
33,"New Hampshire",2007,62369,892,1,"New England",0.172
34,"New Jersey",2007,67035,1026,2,"New York–New Jersey",0.184
35,"New Mexico",2007,41452,637,6,"South Central",0.184
36,"New York",2007,53514,907,2,"New York–New Jersey",0.203
37,"North Carolina",2007,44670,678,4,"Southeast",0.182
38,"North Dakota",2007,43753,516,8,"Mountain North",0.142
39,"Ohio",2007,46597,643,5,"Great Lakes",0.166
40,"Oklahoma",2007,41567,588,6,"South Central",0.17
41,"Oregon",2007,48730,743,10,"Pacific Northwest",0.183
42,"Pennsylvania",2007,48576,685,3,"Mid-Atlantic",0.169
44,"Rhode Island",2007,53568,830,1,"New England",0.186
45,"South Carolina",2007,43329,645,4,"Southeast",0.179
46,"South Dakota",2007,43424,526,8,"Mountain North",0.145
47,"Tennessee",2007,42367,634,4,"Southeast",0.18
48,"Texas",2007,47548,734,6,"South Central",0.185
49,"Utah",2007,55109,733,8,"Mountain North",0.16
50,"Vermont",2007,49907,756,1,"New England",0.182
51,"Virginia",2007,59562,892,3,"Mid-Atlantic",0.18
53,"Washington",2007,55591,816,10,"Pacific Northwest",0.176
54,"West Virginia",2007,37060,525,3,"Mid-Atlantic",0.17
55,"Wisconsin",2007,50578,673,5,"Great Lakes",0.16
56,"Wyoming",2007,51731,636,8,"Mountain North",0.148
72,"Puerto Rico",2007,17741,392,11,"Puerto Rico",0.265
1,"Alabama",2008,42666,631,4,"Southeast",0.177
2,"Alaska",2008,68460,949,10,"Pacific Northwest",0.166
4,"Arizona",2008,50958,866,9,"Pacific Southwest",0.204
5,"Arkansas",2008,38815,606,6,"South Central",0.187
6,"California",2008,61021,1135,9,"Pacific Southwest",0.223
8,"Colorado",2008,56993,848,8,"Mountain North",0.179
9,"Connecticut",2008,68595,970,1,"New England",0.17
10,"Delaware",2008,57989,917,3,"Mid-Atlantic",0.19
11,"District of Columbia",2008,57936,1011,3,"Mid-Atlantic",0.209
12,"Florida",2008,47778,947,4,"Southeast",0.238
13,"Georgia",2008,50861,787,4,"Southeast",0.186
15,"Hawaii",2008,67214,1298,9,"Pacific Southwest",0.232
16,"Idaho",2008,47576,690,10,"Pacific Northwest",0.174
20,"Kansas",2008,50177,654,7,"Central Plains",0.156
17,"Illinois",2008,56235,811,5,"Great Lakes",0.173
18,"Indiana",2008,47966,670,5,"Great Lakes",0.168
19,"Iowa",2008,48980,607,7,"Central Plains",0.149
21,"Kentucky",2008,41538,578,4,"Southeast",0.167
22,"Louisiana",2008,43733,698,6,"South Central",0.192
23,"Maine",2008,46581,702,1,"New England",0.181
24,"Maryland",2008,70545,1074,3,"Mid-Atlantic",0.183
25,"Massachusetts",2008,65401,991,1,"New England",0.182
26,"Michigan",2008,48591,706,5,"Great Lakes",0.174
27,"Minnesota",2008,57288,734,5,"Great Lakes",0.154
28,"Mississippi",2008,37790,638,4,"Southeast",0.203
29,"Missouri",2008,46867,657,7,"Central Plains",0.168
30,"Montana",2008,43654,631,8,"Mountain North",0.173
31,"Nebraska",2008,49693,626,7,"Central Plains",0.151
32,"Nevada",2008,56361,1011,9,"Pacific Southwest",0.215
33,"New Hampshire",2008,63731,914,1,"New England",0.172
34,"New Jersey",2008,70378,1068,2,"New York–New Jersey",0.182
35,"New Mexico",2008,43508,668,6,"South Central",0.184
36,"New York",2008,56033,953,2,"New York–New Jersey",0.204
37,"North Carolina",2008,46549,694,4,"Southeast",0.179
38,"North Dakota",2008,45685,534,8,"Mountain North",0.14
39,"Ohio",2008,47988,667,5,"Great Lakes",0.167
40,"Oklahoma",2008,42822,614,6,"South Central",0.172
41,"Oregon",2008,50169,780,10,"Pacific Northwest",0.187
42,"Pennsylvania",2008,50713,726,3,"Mid-Atlantic",0.172
44,"Rhode Island",2008,55701,850,1,"New England",0.183
45,"South Carolina",2008,44625,675,4,"Southeast",0.182
46,"South Dakota",2008,46032,569,8,"Mountain North",0.148
47,"Tennessee",2008,43614,660,4,"Southeast",0.182
48,"Texas",2008,50043,768,6,"South Central",0.184
49,"Utah",2008,56633,784,8,"Mountain North",0.166
50,"Vermont",2008,52104,797,1,"New England",0.184
51,"Virginia",2008,61233,934,3,"Mid-Atlantic",0.183
53,"Washington",2008,58078,874,10,"Pacific Northwest",0.181
54,"West Virginia",2008,37989,528,3,"Mid-Atlantic",0.167
55,"Wisconsin",2008,52094,704,5,"Great Lakes",0.162
56,"Wyoming",2008,53207,636,8,"Mountain North",0.143
72,"Puerto Rico",2008,18401,429,11,"Puerto Rico",0.28
1,"Alabama",2009,40489,657,4,"Southeast",0.195
2,"Alaska",2009,66953,1007,10,"Pacific Northwest",0.18
4,"Arizona",2009,48745,859,9,"Pacific Southwest",0.211
5,"Arkansas",2009,37823,606,6,"South Central",0.192
6,"California",2009,58931,1155,9,"Pacific Southwest",0.235
8,"Colorado",2009,55430,851,8,"Mountain North",0.184
9,"Connecticut",2009,67034,1006,1,"New England",0.18
